184.181.217.210:4145, SOCKS4, 639ms
72.223.188.67:4145, SOCKS4, 640ms
72.195.34.60:27391, SOCKS4, 640ms
72.195.34.35:27360, SOCKS4, 640ms
72.207.109.5:4145, SOCKS4, 640ms
70.166.167.55:57745, SOCKS4, 642ms
212.127.95.235:8081, HTTP, 642ms
184.178.172.28:15294, SOCKS4, 642ms
139.99.192.169:80, HTTP, 642ms
174.75.211.193:4145, SOCKS4, 642ms
184.181.217.201:4145, SOCKS4, 642ms
72.205.0.67:4145, SOCKS4, 643ms
72.205.0.93:4145, SOCKS4, 643ms
184.181.217.194:4145, SOCKS4, 643ms
72.195.114.169:4145, SOCKS4, 643ms
72.207.113.97:4145, SOCKS4, 644ms
72.195.101.99:4145, SOCKS4, 644ms
68.1.210.189:4145, SOCKS4, 644ms
184.178.172.25:15291, SOCKS4, 645ms
98.170.57.231:4145, SOCKS4, 645ms
184.178.172.26:4145, SOCKS4, 645ms
98.170.57.249:4145, SOCKS4, 645ms
72.195.34.41:4145, SOCKS4, 645ms
98.191.0.47:4145, SOCKS4, 646ms
72.195.34.58:4145, SOCKS4, 647ms
184.178.172.14:4145, SOCKS4, 647ms
184.181.217.206:4145, SOCKS4, 648ms
184.178.172.23:4145, SOCKS4, 648ms
72.195.114.184:4145, SOCKS4, 648ms
72.207.33.64:4145, SOCKS4, 649ms
184.178.172.3:4145, SOCKS4, 649ms
184.178.172.17:4145, SOCKS4, 650ms
68.1.210.163:4145, SOCKS4, 650ms
184.178.172.11:4145, SOCKS4, 650ms
98.188.47.150:4145, SOCKS4, 651ms
98.170.57.241:4145, SOCKS4, 651ms
5.45.126.128:8080, HTTP, 651ms
98.181.137.83:4145, SOCKS4, 651ms
24.249.199.12:4145, SOCKS4, 652ms
5.255.117.250:1080, SOCKS5, 652ms
72.195.34.59:4145, SOCKS4, 652ms
184.178.172.13:15311, SOCKS4, 652ms
72.195.34.42:4145, SOCKS4, 653ms
195.114.209.50:80, HTTP, 654ms
47.243.92.199:3128, HTTP, 655ms
174.64.199.82:4145, SOCKS4, 655ms
174.77.111.197:4145, SOCKS4, 656ms
98.178.72.30:4145, SOCKS4, 656ms
174.77.111.196:4145, SOCKS4, 657ms
70.166.167.38:57728, SOCKS4, 658ms
184.181.217.220:4145, SOCKS4, 658ms
98.191.0.37:4145, SOCKS4, 660ms
16.163.88.228:80, HTTP, 661ms
72.214.108.67:4145, SOCKS4, 664ms
184.170.249.65:4145, SOCKS4, 665ms
208.102.51.6:58208, SOCKS4, 665ms
18.163.33.4:9002, HTTP, 666ms
143.208.130.155:5678, SOCKS4, 668ms
66.42.224.229:41679, SOCKS4, 675ms
18.163.33.4:37317, HTTP, 675ms
176.111.37.216:39811, HTTP, 675ms
178.220.148.82:10801, SOCKS4, 678ms
174.77.111.198:49547, SOCKS4, 678ms
54.253.183.151:57848, HTTP, 679ms
98.190.239.3:4145, SOCKS5, 687ms
202.133.88.173:80, HTTP, 700ms
69.61.200.104:36181, SOCKS4, 701ms
141.98.153.86:80, HTTP, 708ms
98.181.137.80:4145, SOCKS4, 710ms
109.232.106.150:52435, SOCKS4, 720ms
94.78.67.171:80, HTTP, 721ms
195.200.245.132:1080, SOCKS4, 722ms
72.223.188.92:4145, SOCKS5, 725ms
34.96.238.40:8080, HTTP, 726ms
200.188.246.122:60606, SOCKS4, 727ms
184.181.178.33:4145, SOCKS5, 727ms
70.166.65.160:4145, SOCKS5, 730ms
72.206.74.126:4145, SOCKS5, 730ms
97.74.87.226:80, HTTP, 733ms
94.100.26.202:80, HTTP, 737ms
98.175.31.222:4145, SOCKS5, 738ms
45.238.57.1:3629, SOCKS4, 740ms
95.3.69.222:8080, HTTP, 752ms
174.75.211.222:4145, SOCKS5, 757ms
216.68.128.121:4145, SOCKS4, 759ms
141.98.85.49:1080, SOCKS5, 765ms
37.26.86.206:4145, SOCKS4, 775ms
8.215.25.3:2080, HTTP, 794ms
62.201.233.59:4145, SOCKS4, 796ms
182.16.171.65:51459, SOCKS4, 797ms
177.54.239.13:4145, SOCKS4, 811ms
103.65.237.92:5678, HTTP, 814ms
34.101.184.164:3128, HTTP, 816ms
152.89.104.11:1080, SOCKS5, 816ms
46.8.104.176:1080, SOCKS4, 829ms
47.89.184.18:3128, HTTP, 832ms
193.24.222.150:33500, SOCKS5, 836ms
39.109.113.97:4090, HTTP, 841ms
177.85.65.177:4153, SOCKS4, 842ms
185.235.16.12:80, HTTP, 842ms
181.233.94.101:1080, SOCKS4, 846ms
203.19.38.114:1080, HTTP, 850ms
34.43.46.91:80, HTTP, 852ms
160.19.19.227:8080, HTTP, 863ms
103.174.122.89:3128, HTTP, 867ms
46.8.60.34:1080, SOCKS4, 868ms
59.110.63.234:80, HTTP, 876ms
185.135.69.34:80, HTTP, 883ms
45.194.33.12:30001, SOCKS5, 892ms
130.110.103.245:3128, HTTP, 892ms
46.47.197.210:3128, HTTP, 909ms
199.66.183.226:4145, SOCKS4, 912ms
4.213.167.178:80, HTTP, 934ms
202.40.177.94:5678, SOCKS4, 955ms
163.181.207.171:9999, HTTP, 967ms
163.181.207.169:9999, HTTP, 969ms
163.181.207.214:9999, HTTP, 976ms
43.109.48.180:9999, HTTP, 976ms
103.170.185.226:80, HTTP, 987ms
163.181.207.230:9999, HTTP, 989ms
113.204.79.230:9091, HTTP, 996ms
117.236.124.166:3128, HTTP, 997ms
177.152.106.74:1080, SOCKS4, 998ms
61.158.175.38:9002, HTTP, 999ms
176.111.37.5:39811, HTTP, 1008ms
16.28.101.55:18968, HTTP, 1022ms
163.181.207.167:9999, HTTP, 1031ms
195.62.50.39:8080, HTTP, 1038ms
8.213.151.128:3128, HTTP, 1044ms
163.181.207.226:9999, HTTP, 1045ms
163.181.207.227:9999, HTTP, 1050ms
85.214.107.177:80, HTTP, 1051ms
114.236.137.41:21000, HTTP, 1064ms
193.176.242.186:80, HTTP, 1067ms
103.37.82.134:39873, SOCKS4, 1068ms
186.216.208.98:3128, HTTP, 1089ms
212.33.248.45:1080, SOCKS5, 1091ms
202.28.194.139:31280, HTTP, 1092ms
103.3.59.208:8080, HTTP, 1099ms
122.15.255.229:60606, SOCKS4, 1117ms
175.100.37.171:1080, SOCKS4, 1127ms
123.58.219.171:10808, SOCKS5, 1190ms
147.45.60.246:1082, SOCKS4, 1192ms
50.238.47.86:32100, SOCKS4, 1197ms
125.122.35.253:8086, HTTP, 1215ms
163.181.207.170:9999, HTTP, 1216ms
147.45.60.136:1082, SOCKS4, 1218ms
77.50.235.130:1080, SOCKS5, 1247ms
184.182.240.12:4145, SOCKS4, 1260ms
202.62.52.20:1080, SOCKS5, 1280ms
195.158.8.123:3128, HTTP, 1299ms
47.91.65.23:3128, HTTP, 1302ms
212.48.150.38:1080, SOCKS5, 1307ms
103.102.141.40:4145, SOCKS4, 1316ms
45.61.129.165:9050, SOCKS5, 1333ms
223.25.109.163:8199, SOCKS5, 1353ms
163.181.207.168:9999, HTTP, 1356ms
65.20.105.241:10001, SOCKS4, 1368ms
103.136.106.13:1081, SOCKS5, 1374ms
8.219.97.248:80, HTTP, 1376ms
144.24.111.128:1088, SOCKS5, 1393ms
189.202.204.53:1080, SOCKS4, 1405ms
184.185.2.12:4145, SOCKS5, 1436ms
95.78.118.172:1080, SOCKS5, 1478ms
197.255.125.12:80, HTTP, 1503ms
140.238.32.108:3128, HTTP, 1513ms
201.222.50.218:80, HTTP, 1514ms
45.95.233.88:1082, SOCKS4, 1537ms
85.172.55.85:1080, SOCKS5, 1559ms
56.155.73.215:4559, HTTP, 1565ms
191.44.125.6:8080, HTTP, 1584ms
37.59.125.131:8888, HTTP, 1593ms
121.169.46.116:1090, SOCKS5, 1617ms
45.143.94.111:1080, SOCKS5, 1619ms
