================ PROXY HEALTH REPORT ================
Generated : 2026-09-25T19:49:35Z
Alive     : 600
=====================================================

── ALIVE ──
5.255.117.127:1080 (socks5) | 508ms | NL
37.59.125.131:8888 (http) | 513ms | FR
109.69.211.18:1080 (socks4) | 518ms | CZ
192.252.211.193:4145 (socks5) | 520ms | US
189.90.118.105:4153 (socks4) | 520ms | BR
213.7.196.26:4153 (socks4) | 523ms | CY
193.25.215.182:22222 (socks5) | 523ms | US
192.252.209.158:4145 (socks5) | 525ms | US
195.114.209.50:80 (http) | 526ms | Unknown
46.47.197.210:3128 (http) | 557ms | Unknown
186.26.95.249:61445 (socks5) | 562ms | BR
31.148.13.96:1080 (socks4) | 566ms | RU
177.125.144.94:1080 (socks4) | 569ms | BR
83.220.46.106:4145 (socks4) | 583ms | RU
94.78.67.171:80 (http) | 584ms | Unknown
186.224.225.30:42648 (socks4) | 586ms | BR
185.157.111.3:5678 (socks4) | 589ms | EE
68.71.243.14:4145 (socks4) | 602ms | US
95.3.69.222:8080 (http) | 604ms | TR
37.187.92.9:1029 (http) | 604ms | Unknown
202.133.88.173:80 (http) | 612ms | Unknown
98.182.147.97:4145 (socks4) | 615ms | US
176.37.107.86:11111 (socks5) | 626ms | UA
184.178.172.5:15303 (socks4) | 644ms | US
174.77.111.196:4145 (socks4) | 645ms | US
184.178.172.18:15280 (socks4) | 646ms | US
72.195.34.59:4145 (socks4) | 647ms | US
72.223.188.67:4145 (socks4) | 648ms | US
184.178.172.28:15294 (socks4) | 648ms | US
98.178.72.30:4145 (socks4) | 649ms | US
98.181.137.80:4145 (socks4) | 650ms | US
184.181.217.201:4145 (socks4) | 650ms | US
72.195.34.60:27391 (socks4) | 650ms | US
98.188.47.150:4145 (socks4) | 650ms | US
98.175.31.195:4145 (socks4) | 651ms | US
184.181.217.213:4145 (socks4) | 651ms | US
174.77.111.198:49547 (socks4) | 651ms | US
98.170.57.241:4145 (socks4) | 651ms | US
70.166.167.38:57728 (socks4) | 652ms | US
184.181.217.194:4145 (socks4) | 652ms | US
70.166.167.55:57745 (socks4) | 652ms | US
174.64.199.79:4145 (socks4) | 653ms | US
184.178.172.25:15291 (socks4) | 653ms | US
72.205.0.67:4145 (socks4) | 653ms | US
24.249.199.4:4145 (socks4) | 653ms | US
98.191.0.47:4145 (socks4) | 654ms | US
24.249.199.12:4145 (socks4) | 655ms | US
174.75.211.193:4145 (socks4) | 655ms | US
68.1.210.163:4145 (socks4) | 655ms | US
72.214.108.67:4145 (socks4) | 656ms | US
98.178.72.21:10919 (socks4) | 657ms | US
72.195.114.184:4145 (socks4) | 657ms | US
72.195.34.58:4145 (socks4) | 657ms | US
184.178.172.23:4145 (socks4) | 658ms | US
184.181.217.206:4145 (socks4) | 658ms | US
184.181.217.210:4145 (socks4) | 658ms | US
184.181.217.220:4145 (socks4) | 658ms | US
184.178.172.14:4145 (socks4) | 659ms | US
174.64.199.82:4145 (socks4) | 660ms | US
98.181.137.83:4145 (socks4) | 660ms | US
72.195.34.35:27360 (socks4) | 661ms | US
72.205.0.93:4145 (socks4) | 663ms | US
184.178.172.26:4145 (socks4) | 663ms | US
68.1.210.189:4145 (socks4) | 664ms | US
83.147.216.208:1080 (socks5) | 664ms | FI
184.178.172.17:4145 (socks4) | 664ms | US
98.191.0.37:4145 (socks4) | 665ms | US
190.104.168.27:80 (http) | 666ms | Unknown
184.178.172.11:4145 (socks4) | 666ms | US
184.178.172.13:15311 (socks4) | 666ms | US
72.195.101.99:4145 (socks4) | 666ms | US
72.195.34.42:4145 (socks4) | 667ms | US
185.128.240.2:3128 (http) | 669ms | Unknown
184.178.172.3:4145 (socks4) | 678ms | US
72.195.34.41:4145 (socks4) | 687ms | US
72.207.109.5:4145 (socks4) | 687ms | US
98.190.239.3:4145 (socks5) | 691ms | US
98.170.57.249:4145 (socks4) | 692ms | US
72.207.33.64:4145 (socks4) | 694ms | US
174.77.111.197:4145 (socks4) | 697ms | US
72.207.113.97:4145 (socks4) | 704ms | US
213.199.47.140:1080 (socks5) | 704ms | FR
47.91.104.88:3128 (http) | 722ms | AE
138.122.140.194:3128 (http) | 732ms | BR
200.80.227.234:4145 (socks4) | 734ms | AR
8.243.71.182:999 (http) | 734ms | Unknown
66.59.197.62:4000 (socks5) | 735ms | TH
46.8.60.34:1080 (socks4) | 737ms | RU
144.91.121.61:1088 (socks5) | 737ms | FR
70.166.65.160:4145 (socks5) | 740ms | US
72.223.188.92:4145 (socks5) | 741ms | US
72.206.74.126:4145 (socks5) | 742ms | US
184.181.178.33:4145 (socks5) | 743ms | US
185.235.16.12:80 (http) | 751ms | Unknown
174.75.211.222:4145 (socks5) | 754ms | US
98.175.31.222:4145 (socks5) | 762ms | US
4.213.167.178:80 (http) | 766ms | Unknown
139.99.192.169:80 (http) | 774ms | Unknown
109.199.119.160:80 (http) | 812ms | Unknown
103.97.94.22:4153 (socks4) | 815ms | IN
193.176.242.186:80 (http) | 815ms | Unknown
16.163.88.228:80 (http) | 816ms | Unknown
101.36.104.46:10808 (socks5) | 824ms | JP
34.96.238.40:8080 (http) | 836ms | HK
38.226.49.123:1080 (socks4) | 840ms | Unknown
16.28.32.67:43032 (http) | 859ms | Unknown
16.28.32.67:50602 (http) | 868ms | Unknown
16.28.32.67:3887 (http) | 868ms | Unknown
45.118.74.113:4153 (socks4) | 879ms | IN
94.100.26.202:80 (http) | 888ms | Unknown
167.86.79.35:1080 (socks5) | 895ms | DE
103.170.185.226:80 (http) | 896ms | Unknown
